"";"name";"no_overlap";"components";"order";"max_Ct";"min_Ct";"max_diam";"min_diam";"max_between"
"1";"Accipiter poliogaster";0,23;1;877;0,23;0,23;11;11;555,3
"2";"Accipiter poliogaster";0,25;1;867;0,25;0,25;12;12;571,3
"3";"Accipiter poliogaster";0,27;1;853;0,27;0,27;12;12;571,9
"4";"Accipiter poliogaster";0,29;1;839;0,29;0,29;11;11;513,9
"5";"Accipiter poliogaster";0,31;1;806;0,31;0,31;11;11;449,8
"6";"Accipiter poliogaster";0,33;1;796;0,33;0,33;13;13;412
"7";"Accipiter poliogaster";0,35;1;783;0,35;0,35;13;13;249,8
"8";"Accipiter poliogaster";0,37;1;769;0,37;0,37;16;16;130,2
"9";"Accipiter poliogaster";0,39;1;751;0,39;0,39;16;16;99,2
"10";"Accipiter poliogaster";0,41;1;723;0,41;0,41;15;15;70,9
"11";"Accipiter poliogaster";0,43;1;689;0,43;0,43;14;14;84,2
"12";"Accipiter poliogaster";0,45;1;661;0,45;0,45;15;15;123,3
"13";"Accipiter poliogaster";0,47;1;610;0,47;0,47;14;14;185,6
"14";"Accipiter poliogaster";0,49;1;598;0,49;0,49;14;14;273
"15";"Accipiter poliogaster";0,51;1;578;0,51;0,51;16;16;28,5
"16";"Accipiter poliogaster";0,53;1;553;0,53;0,53;17;17;32,3
"17";"Accipiter poliogaster";0,55;1;537;0,55;0,55;18;18;63,4
"18";"Accipiter poliogaster";0,57;1;509;0,57;0,57;17;17;137,2
"19";"Accipiter poliogaster";0,59;1;441;0,59;0,59;16;16;249,8
"20";"Accipiter poliogaster";0,61;1;413;0,61;0,61;17;17;20,3
"21";"Accipiter poliogaster";0,63;1;376;0,63;0,63;18;18;3,8
"22";"Accipiter poliogaster";0,65;1;356;0,65;0,65;20;20;9,7
"23";"Accipiter poliogaster";0,67;1;251;0,67;0,67;10;10;28,8
"24";"Accipiter poliogaster";0,69;1;226;0,69;0,69;12;12;32,8
"25";"Accipiter poliogaster";0,71;1;191;0,71;0,71;13;13;189
"26";"Accipiter poliogaster";NA;1;168;0,73;0,73;13;13;0
"27";"Akletos goeldii";0,23;1;877;0,23;0,23;11;11;281,9
"28";"Akletos goeldii";0,25;1;867;0,25;0,25;12;12;556,1
"29";"Akletos goeldii";0,27;1;853;0,27;0,27;12;12;505,4
"30";"Akletos goeldii";0,29;1;839;0,29;0,29;11;11;398,5
"31";"Akletos goeldii";0,31;1;806;0,31;0,31;11;11;329,4
"32";"Akletos goeldii";0,33;1;796;0,33;0,33;13;13;1476,1
"33";"Akletos goeldii";0,35;1;783;0,35;0,35;13;13;2691,7
"34";"Akletos goeldii";0,37;1;769;0,37;0,37;16;16;2839,9
"35";"Akletos goeldii";0,39;1;751;0,39;0,39;16;16;4164,1
"36";"Akletos goeldii";0,41;1;723;0,41;0,41;15;15;4642
"37";"Akletos goeldii";0,43;1;689;0,43;0,43;14;14;5205,2
"38";"Akletos goeldii";0,45;1;661;0,45;0,45;15;15;3041,1
"39";"Akletos goeldii";0,47;1;610;0,47;0,47;14;14;2860,5
"40";"Akletos goeldii";0,49;1;598;0,49;0,49;14;14;3452,1
"41";"Akletos goeldii";0,51;1;578;0,51;0,51;16;16;3464,2
"42";"Akletos goeldii";NA;4;9;0,53;0,53;4;4;23
"43";"Akletos goeldii";NA;8;3;0,55;0,55;2;2;1
"44";"Akletos goeldii";NA;16;2;0,57;0,57;1;1;0
"45";"Akletos melanoceps";0,23;1;877;0,23;0,23;11;11;634,5
"46";"Akletos melanoceps";0,25;1;867;0,25;0,25;12;12;699,9
"47";"Akletos melanoceps";0,27;1;853;0,27;0,27;12;12;941,3
"48";"Akletos melanoceps";0,29;1;839;0,29;0,29;11;11;1034,5
"49";"Akletos melanoceps";0,31;1;806;0,31;0,31;11;11;1847,9
"50";"Akletos melanoceps";0,33;1;796;0,33;0,33;13;13;2336
"51";"Akletos melanoceps";0,35;1;783;0,35;0,35;13;13;2906,3
"52";"Akletos melanoceps";0,37;1;769;0,37;0,37;16;16;2299,7
"53";"Akletos melanoceps";0,39;1;751;0,39;0,39;16;16;639,7
"54";"Akletos melanoceps";0,41;1;723;0,41;0,41;15;15;843,7
"55";"Akletos melanoceps";0,43;1;689;0,43;0,43;14;14;1562,6
"56";"Akletos melanoceps";0,45;1;661;0,45;0,45;15;15;2076,8
"57";"Akletos melanoceps";0,47;1;610;0,47;0,47;14;14;1138
"58";"Akletos melanoceps";0,49;1;598;0,49;0,49;14;14;1443,5
"59";"Akletos melanoceps";0,51;1;578;0,51;0,51;16;16;723,5
"60";"Akletos melanoceps";0,53;1;553;0,53;0,53;17;17;1240,5
"61";"Akletos melanoceps";0,55;1;537;0,55;0,55;18;18;1907
"62";"Akletos melanoceps";0,57;1;509;0,57;0,57;17;17;1221
"63";"Akletos melanoceps";0,59;1;441;0,59;0,59;16;16;1143,4
"64";"Akletos melanoceps";0,61;1;413;0,61;0,61;17;17;972,9
"65";"Akletos melanoceps";0,63;1;376;0,63;0,63;18;18;726,7
"66";"Akletos melanoceps";0,65;1;356;0,65;0,65;20;20;354,5
"67";"Akletos melanoceps";0,67;1;251;0,67;0,67;10;10;497
"68";"Akletos melanoceps";NA;6;5;0,69;0,69;2;2;6
"69";"Akletos melanoceps";NA;10;2;0,79;0,79;1;1;0
"70";"Akletos melanoceps";NA;11;2;0,77;0,75;1;1;0
"71";"Akletos melanoceps";NA;13;2;0,73;0,73;1;1;0
"72";"Akletos melanoceps";NA;14;2;0,71;0,71;1;1;0
"73";"Amaurolimnas concolor";0,23;1;877;0,23;0,23;11;11;0
"74";"Amaurolimnas concolor";0,25;1;867;0,25;0,25;12;12;0
"75";"Amaurolimnas concolor";0,27;1;853;0,27;0,27;12;12;0
"76";"Amaurolimnas concolor";0,29;1;839;0,29;0,29;11;11;0
"77";"Amazilia bartletti";0,23;1;877;0,23;0,23;11;11;641,7
"78";"Amazilia bartletti";0,25;1;867;0,25;0,25;12;12;627,2
"79";"Amazilia bartletti";0,27;1;853;0,27;0,27;12;12;1628,7
"80";"Amazilia bartletti";0,29;1;839;0,29;0,29;11;11;2277
