"";"chorotype_spp";"richness_spp";"no_overlap";"Ct_max";"Ct_min";"diameter";"max_centrality";"max_betweenness"
"1";"Guiana, Gymnopithys rufigula, Todirostrum pictum, Xiphorhynchus pardalotus";4;NA;0,97;0,95;2;3;3
"2";"Guiana, Gymnopithys rufigula, Isleria guttata, Monasa atra, Perissocephalus tricolor, Todirostrum pictum, Xiphorhynchus pardalotus";7;NA;0,93;0,91;3;6;5
"3";"Cathartes melambrotus, Corythopis torquatus, Myrmotherula menetriesii";3;NA;0,93;0,93;2;2;1
"4";"Campephilus rubricollis, Pachyramphus minor";2;NA;0,93;0,93;1;1;0
"5";"Capito niger, Epinecrophylla gutturalis";2;NA;0,93;0,93;1;1;0
"6";"Atticora fasciata, Campephilus rubricollis, Cathartes melambrotus, Cercomacra cinerascens, Corythopis torquatus, Cotinga cayana, Cyanoloxia rothschildii, Dacnis lineata, Daptrius ater, Dendrocolaptes certhia, Heliothryx auritus, Laniocera hypopyrra, Lipaugus vociferans, Melanerpes cruentatus, Myrmophylax atrothorax, Myrmotherula brachyura, Myrmotherula menetriesii, Ornithion inerme, Pachyramphus minor, Ramphotrigon ruficauda, Rhytipterna simplex, Tangara mexicana";22;NA;0,91;0,91;6;6;147,8
"7";"Capito niger, Epinecrophylla gutturalis, Selenidera piperivora, Tyranneutes virescens";4;NA;0,91;0,87;2;3;2
"8";"Atticora fasciata, Campephilus rubricollis, Cathartes melambrotus, Celeus elegans, Cercomacra cinerascens, Corythopis torquatus, Cotinga cayana, Cyanoloxia rothschildii, Dacnis lineata, Daptrius ater, Dendrocolaptes certhia, Heliothryx auritus, Laniocera hypopyrra, Lipaugus vociferans, Megascops watsonii, Melanerpes cruentatus, Myrmophylax atrothorax, Myrmotherula brachyura, Myrmotherula menetriesii, Onychorhynchus coronatus, Ornithion inerme, Pachyramphus minor, Ramphotrigon ruficauda, Rhytipterna simplex, Sclateria naevia, Tangara mexicana, Tolmomyias poliocephalus, Xiphorhynchus obsoletus";28;NA;0,89;0,89;4;18;104,9
"9";"Guiana, Gymnopithys rufigula, Isleria guttata, Monasa atra, Perissocephalus tricolor, Pteroglossus viridis, Todirostrum pictum, Xiphorhynchus pardalotus";8;NA;0,89;0,89;2;7;2,2
"10";"Bucco capensis, Crypturellus variegatus, Sclerurus caudacutus, Sublegatus obscurior";4;NA;0,89;0,89;3;2;2
"11";"Belem, Psophia obscura";2;NA;0,89;0,83;1;1;0
"12";"Rondonia, Psophia viridis";2;NA;0,89;0,73;1;1;0
"13";"Atticora fasciata, Bucco capensis, Campephilus rubricollis, Cathartes melambrotus, Celeus elegans, Cercomacra cinerascens, Corythopis torquatus, Cotinga cayana, Crypturellus cinereus, Crypturellus variegatus, Cyanoloxia rothschildii, Dacnis lineata, Daptrius ater, Dendrocolaptes certhia, Heliothryx auritus, Hydropsalis climacocerca, Hylophylax naevius, Laniocera hypopyrra, Lipaugus vociferans, Megascops watsonii, Melanerpes cruentatus, Myrmophylax atrothorax, Myrmotherula brachyura, Myrmotherula longipennis, Myrmotherula menetriesii, Onychorhynchus coronatus, Opisthocomus hoazin, Ornithion inerme, Pachyramphus marginatus, Pachyramphus minor, Philydor pyrrhodes, Myiornis ecaudatus, Ramphotrigon ruficauda, Rhytipterna simplex, Sclateria naevia, Sclerurus caudacutus, Sublegatus obscurior, Synallaxis rutilans, Tangara mexicana, Tolmomyias assimilis, Tolmomyias poliocephalus, Xiphorhynchus obsoletus";42;NA;0,87;0,87;6;23;188,8
"14";"Guiana, Galbula galbula, Gymnopithys rufigula, Isleria guttata, Microcerculus bambla, Monasa atra, Perissocephalus tricolor, Pteroglossus viridis, Ramphastos vitellinus, Todirostrum pictum, Xiphorhynchus pardalotus";11;NA;0,87;0,87;3;9;6,4
"15";"Frederickena viridis, Penelope marail, Pyrilia caica, Schiffornis olivacea";4;NA;0,87;0,87;2;3;3
"16";"Automolus infuscatus, Micrastur gilvicollis, Thamnophilus murinus";3;NA;0,87;0,83;2;2;1
"17";"Crypturellus parvirostris, Tityra braziliensis";2;NA;0,87;0,77;1;1;0
"18";"Jacamerops aureus, Saltator grossus";2;NA;0,87;0,87;1;1;0
